id,code,week,material,sec
1,TP,Week 02,agenda,overview
1,TP,Week 02,agenda,overview
1,TP,Week 02,agenda,overview
1,TP,Week 02,agenda,overview
1,TP,Week 02,agenda,overview
1,TP,Week 02,agenda,overview
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,SP,Week 02,agenda,assignment01
2,SP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,SP,Week 02,agenda,assignment01
2,SP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
2,TP,Week 02,agenda,assignment01
3,TP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
3,SP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
3,SP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
3,TP,Week 02,agenda,assignment02
4,TP,Week 02,agenda,assignment03
4,SP,Week 02,agenda,assignment03
4,SP,Week 02,agenda,assignment03
4,SP,Week 02,agenda,assignment03
4,TP,Week 02,agenda,assignment03
4,TP,Week 02,agenda,assignment03
4,SP,Week 02,agenda,assignment03
5,TP,Week 02,agenda,assignment04
5,TP,Week 02,agenda,assignment04
5,TP,Week 02,agenda,assignment04
5,TP,Week 02,agenda,assignment04
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,SP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
6,TP,Week 02,agenda,assignment05
7,TP,Week 02,agenda,assignment06
7,TP,Week 02,agenda,assignment06
7,TP,Week 02,agenda,assignment06
7,TP,Week 02,agenda,assignment06
7,TP,Week 02,agenda,assignment06
7,TP,Week 02,agenda,assignment06
8,TP,Week 02,agenda,assignment07
8,SP,Week 02,agenda,assignment07
8,SP,Week 02,agenda,assignment07
9,TP,Week 02,agenda,question
9,TP,Week 02,agenda,question
9,TP,Week 02,agenda,question
9,SP,Week 02,agenda,question
9,SP,Week 02,agenda,question
10,SP,Week 02,video,timeslot1
10,SP,Week 02,video,timeslot1
10,TP,Week 02,video,timeslot1
10,TP,Week 02,video,timeslot1
10,TP,Week 02,video,timeslot1
10,TP,Week 02,video,timeslot1
10,CP,Week 02,video,timeslot1
10,SP,Week 02,video,timeslot1
10,SP,Week 02,video,timeslot1
11,TP,Week 02,video,timeslot2
11,SP,Week 02,video,timeslot2
11,SP,Week 02,video,timeslot2
11,TP,Week 02,video,timeslot2
11,TP,Week 02,video,timeslot2
11,SP,Week 02,video,timeslot3
12,TP,Week 02,video,timeslot3
12,TP,Week 02,video,timeslot3
12,TP,Week 02,video,timeslot3
12,TP,Week 02,video,timeslot3
12,TP,Week 02,video,timeslot3
12,TP,Week 02,video,timeslot3
13,TP,Week 02,video,timeslot4
13,SP,Week 02,video,timeslot4
13,TP,Week 02,video,timeslot4
13,SP,Week 02,video,timeslot4
13,TP,Week 02,video,timeslot4
13,SP,Week 02,video,timeslot4
13,TP,Week 02,video,timeslot4
13,SP,Week 02,video,timeslot4
14,SP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,SP,Week 02,video,timeslot5
14,SP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,SP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,SP,Week 02,video,timeslot5
14,TP,Week 02,video,timeslot5
14,SP,Week 02,video,timeslot5
14,SP,Week 02,video,timeslot5
15,TP,Week 02,video,timeslot7
15,TP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,SP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,TP,Week 02,video,timeslot6
15,SP,Week 02,video,timeslot6
16,SP,Week 02,video,timeslot7
16,SP,Week 02,video,timeslot7
16,SP,Week 02,video,timeslot7
16,SP,Week 02,video,timeslot7
16,TP,Week 02,video,timeslot7
16,TP,Week 02,video,timeslot7
16,TP,Week 02,video,timeslot7
16,SP,Week 02,video,timeslot7
16,TP,Week 02,video,timeslot7
16,SP,Week 02,video,timeslot7
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,TP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
17,SP,Week 02,video,timeslot8
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
18,TP,Week 02,discussion,post
19,SP,Week 02,discussion,replies
19,SP,Week 02,discussion,replies
19,TP,Week 02,discussion,replies
19,TP,Week 02,discussion,replies
19,SP,Week 02,discussion,replies
19,SP,Week 02,discussion,replies
20,SP,Week 02,discussion,replies
20,SP,Week 02,discussion,replies
20,SP,Week 02,discussion,replies
21,SP,Week 02,discussion,replies
21,SP,Week 02,discussion,replies
21,TP,Week 02,discussion,replies
22,SP,Week 02,discussion,replies
22,SP,Week 02,discussion,replies
22,TP,Week 02,discussion,replies
22,CP,Week 02,discussion,replies
22,SP,Week 02,discussion,replies
22,TP,Week 02,discussion,replies
22,CP,Week 02,discussion,replies
22,TP,Week 02,discussion,replies
22,SP,Week 02,discussion,replies
22,SP,Week 02,discussion,replies
23,SP,Week 02,discussion,replies
23,SP,Week 02,discussion,replies
23,TP,Week 02,discussion,replies
23,CP,Week 02,discussion,replies
23,CP,Week 02,discussion,replies
24,SP,Week 02,discussion,replies
25,SP,Week 02,discussion,replies
25,CP,Week 02,discussion,replies
25,TP,Week 02,discussion,replies
26,SP,Week 02,discussion,replies
26,TP,Week 02,discussion,replies
27,SP,Week 02,discussion,replies
27,TP,Week 02,discussion,replies
28,TP,Week 02,discussion,replies
28,TP,Week 02,discussion,replies
28,TP,Week 02,discussion,replies
28,CP,Week 02,discussion,replies
28,SP,Week 02,discussion,replies
28,SP,Week 02,discussion,replies
28,SP,Week 02,discussion,replies
