id,student,code
1,A,IEx
1,A,IEl
1,A,IEl
1,A,IEx
1,A,GSI-2
1,A,GSI-2
2,B,GEx
2,B,GEl-1
2,B,GSI-1
3,R,GSI-1
3,R,GEl-1
4,A,GSI-1
4,A,GEl-1
4,A,GQE
4,A,GPA
5,C,GSI-1
6,D,GSI-1
6,D,GEx
7,R,IEl
7,R,IEl
7,R,IEl
8,B,IEx
9,E,GSI-1
9,E,GEl-1
10,R,GSI-1
10,R,IML
11,F,GSI-1
11,F,GEx
11,F,GSI-1
12,R,GSI-1
13,D,GEx
14,S,GSI-1
15,B,IEl
15,B,IML
16,R,GSI-1
16,R,GEx
17,C,GSI-1
17,C,GEx
18,F,GSI-2
18,F,GEl-2
19,A,GSI-1
19,A,GEx
19,A,GSI-1
20,G,GSI-1
20,G,GEl-1
20,G,GQE
21,B,IEx
22,R,GSI-1
22,R,GQR
23,H,IEx
24,E,IEl
24,E,IEx
24,E,GSI-1
24,E,IML
25,C,GSI-1
25,C,GEl-1
26,B,GSI-1
26,B,GEl-1
27,I,IEl
28,J,GSI-1
28,J,GEl-2
29,I,GSI-1
29,I,GEl-1
30,B,GSI-1
30,B,GEx
31,H,GEx
31,H,ISP
32,I,GEx
33,K,IEl
34,L,GSI-1
34,L,GEl-1
35,I,GSI-1
35,I,GEl-1
36,H,IEx
36,H,IEl
36,H,IEl
36,H,IEl
36,H,IML
36,H,GSI-1
37,M,GSI-1
37,M,GEl-1
38,C,IEl
39,H,GEl-1
39,H,GML
40,G,GSI-2
40,G,GML
41,B,GSI-1
41,B,GML
42,E,GSI-1
42,E,GEx
42,E,GQR
43,G,GSI-1
43,G,GQR
43,G,GML
44,F,GSI-1
44,F,GEl-1
45,J,IEl
45,J,IPA
46,L,GSI-1
46,L,GPA
47,L,IEl
47,L,IEl
47,L,IPA
47,L,IEl
48,A,GSI-1
49,J,GSI-1
49,J,GEl-1
50,N,IEl
50,N,IEl
51,E,GSI-1
51,E,GQE
52,F,IEl
52,F,IEl
53,M,GSI-1
53,M,GEl-1
54,F,GSI-1
55,G,GSI-1
55,G,GEl-1
56,O,IEl
56,O,IEl
56,O,IEl
56,O,IEl
56,O,IEl
56,O,GEl-1
56,O,GPA
57,O,GSI-1
58,F,GQR
59,F,GEx
60,G,GSI-1
60,G,GEl-1
61,C,GQE
62,F,GSI-1
62,F,GQR
63,M,GSI-2
63,M,IEl
63,M,IQE
63,M,IQR
63,M,IEl
63,M,IEl
63,M,IEl
63,M,IEl
63,M,IEl
63,M,IEl
63,M,IEl
63,M,IQE
64,R,GSI-1
64,R,GEl-1
65,O,GSI-2
65,O,GEl-2
66,R,GSI-1
66,R,GEl-1
67,F,GEl-1
68,O,ISP
68,O,GQE
68,O,GEl-2
69,G,GSI-1
69,G,GEl-1
70,F,GSI-2
70,F,GEl-2
71,P,ISP
71,P,IEl
72,I,GSI-1
72,I,GEl-1
73,S,IEl
74,F,GML
74,F,GSI-2
75,R,GEx
76,S,IPA
77,F,GSI-2
77,F,GQE
78,O,GSI-2
78,O,GEx
79,C,GSI-1
79,C,IPA
80,F,GSI-2
80,F,GPA
80,F,IPA
81,Q,GEl-2
